iteration, en_lr, sr_lr, dn_lr, 20240501-153251
im_1,
5350,1.52587890625e-08
5400,1.52587890625e-08
5450,1.52587890625e-08
5500,1.52587890625e-08
5550,1.52587890625e-08
5600,1.52587890625e-08
5650,1.52587890625e-08
5700,1.52587890625e-08
5750,1.52587890625e-08
5800,1.52587890625e-08
5850,1.52587890625e-08
5900,1.52587890625e-08
5950,1.52587890625e-08
6000,1.52587890625e-08
6050,1.52587890625e-08
6100,1.52587890625e-08
6150,1.52587890625e-08
6200,1.52587890625e-08
6250,1.52587890625e-08
6300,1.52587890625e-08
6350,1.52587890625e-08
6400,1.52587890625e-08
6450,1.52587890625e-08
6500,1.52587890625e-08
6550,1.52587890625e-08
6600,1.52587890625e-08
6650,1.52587890625e-08
6700,1.52587890625e-08
6750,1.52587890625e-08
6800,1.52587890625e-08
6850,1.52587890625e-08
6900,1.52587890625e-08
6950,1.52587890625e-08
7000,1.52587890625e-08
7050,1.52587890625e-08
7100,1.52587890625e-08
7150,1.52587890625e-08
7200,1.52587890625e-08
7250,1.52587890625e-08
7300,1.52587890625e-08
7350,1.52587890625e-08
7400,1.52587890625e-08
7450,1.52587890625e-08
7500,1.52587890625e-08
7550,1.52587890625e-08
7600,1.52587890625e-08
7650,1.52587890625e-08
7700,1.52587890625e-08
7750,1.52587890625e-08
7800,1.52587890625e-08
7850,1.52587890625e-08
7900,1.52587890625e-08
7950,1.52587890625e-08
8000,1.52587890625e-08
8050,1.52587890625e-08
8100,1.52587890625e-08
8150,1.52587890625e-08
8200,1.52587890625e-08
8250,1.52587890625e-08
8300,1.52587890625e-08
8350,1.52587890625e-08
8400,1.52587890625e-08
8450,1.52587890625e-08
8500,1.52587890625e-08
8550,1.52587890625e-08
8600,1.52587890625e-08
8650,1.52587890625e-08
8700,1.52587890625e-08
8750,1.52587890625e-08
8800,1.52587890625e-08
8850,1.52587890625e-08
8900,1.52587890625e-08
8950,1.52587890625e-08
9000,1.52587890625e-08
9050,1.52587890625e-08
9100,1.52587890625e-08
9150,1.52587890625e-08
9200,1.52587890625e-08
9250,1.52587890625e-08
9300,1.52587890625e-08
9350,1.52587890625e-08
9400,1.52587890625e-08
9450,1.52587890625e-08
9500,1.52587890625e-08
9550,1.52587890625e-08
9600,1.52587890625e-08
9650,1.52587890625e-08
9700,1.52587890625e-08
9750,1.52587890625e-08
9800,1.52587890625e-08
9850,1.52587890625e-08
9900,1.52587890625e-08
9950,1.52587890625e-08
10000,1.52587890625e-08
10050,1.52587890625e-08
10100,1.52587890625e-08
10150,1.52587890625e-08
10200,1.52587890625e-08
10250,1.52587890625e-08
10300,1.52587890625e-08
10350,1.52587890625e-08
10400,1.52587890625e-08
10450,1.52587890625e-08
10500,1.52587890625e-08
10550,1.52587890625e-08
10600,1.52587890625e-08
10650,1.52587890625e-08
10700,1.52587890625e-08
10750,1.52587890625e-08
10800,1.52587890625e-08
10850,1.52587890625e-08
10900,1.52587890625e-08
10950,1.52587890625e-08
11000,1.52587890625e-08
11050,1.52587890625e-08
11100,1.52587890625e-08
11150,1.52587890625e-08
11200,1.52587890625e-08
11250,1.52587890625e-08
11300,1.52587890625e-08
11350,1.52587890625e-08
11400,1.52587890625e-08
11450,1.52587890625e-08
11500,1.52587890625e-08
11550,1.52587890625e-08
11600,1.52587890625e-08
11650,1.52587890625e-08
11700,1.52587890625e-08
11750,1.52587890625e-08
11800,1.52587890625e-08
11850,1.52587890625e-08
11900,1.52587890625e-08
11950,1.52587890625e-08
12000,1.52587890625e-08
12050,1.52587890625e-08
12100,1.52587890625e-08
12150,1.52587890625e-08
12200,1.52587890625e-08
12250,1.52587890625e-08
12300,1.52587890625e-08
12350,1.52587890625e-08
12400,1.52587890625e-08
12450,1.52587890625e-08
12500,1.52587890625e-08
12550,1.52587890625e-08
12600,1.52587890625e-08
12650,1.52587890625e-08
12700,1.52587890625e-08
12750,1.52587890625e-08
12800,1.52587890625e-08
12850,1.52587890625e-08
12900,1.52587890625e-08
12950,1.52587890625e-08
13000,1.52587890625e-08
13050,1.52587890625e-08
13100,1.52587890625e-08
13150,1.52587890625e-08
13200,1.52587890625e-08
13250,1.52587890625e-08
13300,1.52587890625e-08
13350,1.52587890625e-08
13400,1.52587890625e-08
13450,1.52587890625e-08
13500,1.52587890625e-08
13550,1.52587890625e-08
13600,1.52587890625e-08
13650,1.52587890625e-08
13700,1.52587890625e-08
13750,1.52587890625e-08
13800,1.52587890625e-08
13850,1.52587890625e-08
13900,1.52587890625e-08
13950,1.52587890625e-08
14000,1.52587890625e-08
14050,1.52587890625e-08
14100,1.52587890625e-08
14150,1.52587890625e-08
14200,1.52587890625e-08
14250,1.52587890625e-08
14300,1.52587890625e-08
14350,1.52587890625e-08
14400,1.52587890625e-08
14450,1.52587890625e-08
14500,1.52587890625e-08
14550,1.52587890625e-08
14600,1.52587890625e-08
14650,1.52587890625e-08
14700,1.52587890625e-08
14750,1.52587890625e-08
14800,1.52587890625e-08
14850,1.52587890625e-08
14900,1.52587890625e-08
